KSM Address,QTZ Address,QTZ Total Amount,Transferrable Amount,TGE Block,Lock blocks,Vesting Blocks,Amount per block,Transfer tx hash,Vesting tx hash
DT7sfVA2zUu4ZJPnKvRVWz69uQ7d7kK3X2A97dLmMut6CQV,yGDcJq7TtHMfic8tb1AX9xVzMMhp8SR1VeZXqV11UQAyjWFMz,28000,1,10457457,5688080,2592000,10802083333333333,0x6abf379fb4de10cf4f3d1a245308de9966a75bcc51361d8cf6239e40a9ebc48b,0xf85b02b43da54f82fa12dad2fb73bebe0f19196ff1a07f59312396d70a66f993
ESJjoBPRAvF8ysUnNpWteUZuQGKwZHqFJeik8BqqLXKTMQh,yGEbVhFA7fY74gZTg1DRFMdUq7CgLkrZ1rMAQ61ZyU9bAs93Q,20000,1,10457457,5688080,2592000,7715663580246913,0xdbd1f67beb458c844eedef5624295ba333acfa9ae741ca6d9119b11688968b8e,0xe8241e5570ef72115342168e44df4018575b232344479c73d316eada6d1aea41
EXzzHmNzXSooCDWYH3XspPpiDr7gkq6LJHx1XZ8o5BU2yLS,yGEhBwjk7EtddLmohm7eGLoQ5v2G8W46GwLodMQwGRtFKSoMs,144667,144667,10457457,0,0,0,0x0bbfc88d1d19cd3c5853837f2616a2e8c47439c5cebcf6e477d4c26d9add4a27,
HhVrE5gpT2F4uWCPdCKnxwq97ppgmDxAyGAy2DdvQYjFXAM,yGHrgog4R4pD4cV6PcTo4Fwx6LvEqW4V8n1mrJubmZDcafdET,232000,232000,10457457,0,0,0,0x0af76c0225307b632b19729c8ad5d31f7eeff32474c4183568d651cb0117b7d7,
HhVrE5gpT2F4uWCPdCKnxwq97ppgmDxAyGAy2DdvQYjFXAM,yGHrgog4R4pD4cV6PcTo4Fwx6LvEqW4V8n1mrJubmZDcafdET,180000,1,10457457,5688080,2592000,69444058641975308,0x7e4c4cac614ca721b905c7cfbea912d19f070da421dc8c6c7afd2c09511296dc,0xe8fc3b43835455e96b0fd81551ec18cad8c26904eda676cbaced4ffd80bc24f4
H9DoSLC6HDhT6QM5JitJg4z9BvaqTqJXhCKQ7bArYn9nNGY,yGHJQktJvLeQWzfzYJ9Kcmf5FLzLbem6V8jhzjzyJVMr1CL6V,8000,8000,10457457,0,0,0,0x6b7b7838ee2d911becf01ed8d4b79609634957a6f3a58d5f2808c2ceedfdbb6b,
HnXdNS6KJLXrmiic5FA8WKcPFn685fieKR3bJjrk4LKgjjU,yGHwiapQpZfXMQMJupuqtbVKsb4C6wNvuFMviwC7zNsQB6fNH,10000000,1,10457457,2592000,12960000,771604861111111111,0x3246769dd65808624732d23d7389dcb47645d5a703accf72dedc6530e42fdcdf,0xee895655f9144b97b43dcb54e8e7ebcdc7dbafcb8245e104f19cf22be69f7a0a
H1zcYeypeva1FNrSnRKdVzdeJ56qfSno8xJZsP6vnnFiNEE,yGHBBZzdi527PYpy3fd246Uztr6V7exhyQBTyukmEZbr78Emb,10000000,1,10457457,2592000,12960000,771604861111111111,0x74908359219b771ff8a6612c6e41851d4a238166635028abf17e21e1b4526f9f,0xd01e077d81a76a023563bbe5231d418fd3df3bc8fd578c410e42b5eb8651e937
JBeoe28NeNw1ziWo9zL8zahNc2S792MMzBuxsQxRGgX7anm,yGJLqm5zrd1ZkZaJi1zb4byaxaQSSvSHXy2hbJko645kNXWPK,10000000,1,10457457,2592000,12960000,771604861111111111,0x622c0f76b5a2e3a9b76a5486f096258d99f1475bf5dc4c39b75926ff8db8d4ba,0x9895c5f6e3dc3d8832e31ecc0d9e3b9dfd15904db8608c26cb294fcbd57368b4
HvuMBiXGVzQZg8FetZqHi8SVCrGw9TCAzpXP84aCG53fULp,yGJ66JdhFWsBE7FiSsjAZkh8hh1GHkSiNn3LCj1Shq58u5Gua,10000000,1,10457457,2592000,12960000,771604861111111111,0x61522c63acd32a361eec4c8c260c0c9aeb33db28b951a34a91c22efe39f5cf30,0x103951a58a72c9775060c73b5d15c58e33e508f1e07cbb223a2894f32ac5e652
DGT1sQcfGG1JapVRN4v3MHVmkqCHgijHrHxvo3M1U7ZGo6s,yGDRdyKPLudSprAQgeCfeWLHkyZFD6yyuttoeGgRUeHBQgPod,118800,118800,10457457,0,0,0,0xce52fa5a42fed9969e17f0a50545aaed3fd944bbb3ea4f8758e52cc4c32fdec3,
CatA3MWvJ31KxCAkiEhhKGw1Sk8SRpfP1cDYvPDDR2xRD7E,yGCk57VLFAfDpsXnMyYqSAJHCDFA9Fj5qz47ttomLrE6oq3c1,25000,25000,10457457,0,0,0,0x13fc7f803589ec3b326bef211777d815d169c8774da880aef73ff15b1f6117a2,
